market,store,base,platform,outcome,sealed_products,in_stock,collections,detail
CA,Heads or Tails Gaming,https://heads-or-tails-gaming-inc.myshopify.com,shopify,too-few,0,0,,
CA,Heaven's Collectibles & TCG,https://heavenscollectibles.ca,shopify,listed,67,30,tcg-sealed pokemon,
CA,Hobbiesville,https://hobbiesville.com,shopify,listed,334,63,pokemon-blister-packs pokemon-booster-packs pokemon-elite-trainer-boxes pokemon-premium-collection,
CA,Hobby Saguenay,https://hobbysag.com,shopify,listed,149,3,pokemon-scelles precommande-pokemon,
CA,Hobby Stop TCG & Collectibles,https://www.hobbystoptcg.com,shopify,listed,45,27,pokemon-sealed-products,
CA,HPW CARDS INC.,https://hpwcards.com,shopify,listed,477,160,pokemon pokemon-sealed,
CA,Invasion Inc,https://invasioncnc.ca,shopify,listed,415,10,pokemon-sealed-all,
CA,Jack's On Queen,https://jacksonqueen.ca,shopify,listed,39,0,pokemon-30th-anniversary pokemon-go pokemon-sv10-5-black-bolt-white-flare,
CA,KadoOne TCG,https://kadoone.ca,shopify,listed,361,112,pokemon,
CA,KanZenGames Sports & Collectibles,https://kanzengames.com,shopify,listed,673,82,pokemon-sealed-all pokemon-tins pokemon-sealed-in-stock pokemon-booster-pack,
CA,Kuma Card Club,https://kumacardclub.com,shopify,too-few,0,0,,
CA,La Boutique Mythique | Lévis,https://laboutiquemythique.com,shopify,listed,437,54,pokemon-sealed-products pokemon,
CA,La Pioche,https://boutiquelapioche.com,shopify,listed,111,16,pokemon-produits-scelles,
CA,Le Chevalier,https://boutiquelechevalier.com,shopify,too-few,0,0,,
CA,Legendary Collectables,https://legendarycollectables.com,shopify,listed,311,25,pokemon-sealed-product,
CA,Level Up Games,https://levelupgames.ca,shopify,listed,285,276,pokemon-sealed-products-1 pokemon-misc-sealed pokemon-booster-boxes,
CA,Lotus Petal Gaming,https://lotuspetalgaming.com,shopify,listed,13,7,pokemon-sealed,
CA,Mad Merchant Cards and Games Limited,https://madmerchantgames.com,shopify,listed,162,38,pokemon,
CA,Mecha Games,https://mechagames.ca,shopify,too-few,2,2,pokemon-sealed,
CA,Merchant's Shop,https://merchantsinventory.ca,shopify,listed,3,3,pokemon-sealed,
CA,Mulligan Merchant,https://mulliganmerchant.myshopify.com,shopify,too-few,2,2,pokemon-sealed-all,
CA,Mysticalspark TCG,https://www.mysticalsparktcg.ca,shopify,listed,173,14,pokemon-sealed,
CA,Northern War Table,https://northernwartable.com,shopify,listed,17,8,pokemon,
CA,NP Collectibles,https://npcollectibles.com,shopify,listed,167,96,all-pokemon-english-sealed-in-stock pokemon-elite-trainer-boxes sword-shield-pokemon-go all-sealed,
CA,Obsidian Games,https://obsidiangames.ca,shopify,listed,63,0,the-pokemon-company-pokemon pokemon-tcg-preorders,
CA,Paradox TCG,https://paradoxtcg.com,shopify,listed,41,41,pokemon-sealed-product,
CA,Poke Gems MTL,https://pokegemsmtl.com,shopify,listed,154,154,pokemon-sealed-products,
CA,Pop Collectibles Canada,https://popcollectibles.ca,shopify,listed,52,15,pokemon,
CA,PTC Collectibles,https://ptccollectibles.com,shopify,listed,252,51,sealed-product pokemon-booster-packs pokemontcg,
CA,Red Riot Games,https://redriotgames.ca,shopify,too-few,0,0,,
CA,Rémi Card Trader,https://remicardtrader.ca,shopify,listed,441,178,cartes-pokemon pokemon-tins pokemon-elite-trainer-box,
CA,RoyalCardShop,https://royalcardshop.com,shopify,too-few,2,1,booster-pack elite-trainer-boxes,
CA,Royalty Cards and Collectibles,https://royaltycardsandcollectibles.com,shopify,listed,139,73,pokemon-etbs pokemon-packs pokemon-booster-boxes-bundles pokemon-tins-misc,
CA,Shopverse,https://shopverse.com,shopify,listed,501,144,pokemon-collection-boxes pokemon-booster-packs pokemon-elite-trainer-boxes pokemon-blister-packs,
CA,Sky Fox Games,https://www.skyfoxgames.com,shopify,listed,357,204,pokemon-tins-boxed-sets pokemon-decks-sealed-1 pokemon-booster-packs pokemon-elite-trainer-box-1,
CA,Taps Games,https://tapsgames.com,shopify,listed,78,53,pokemon-sealed pokemon-go,
CA,TCG Synergy,https://tcgsynergy.myshopify.com,shopify,listed,126,126,pokemon,
CA,TCG Temple,https://tcgtemple.myshopify.com,shopify,too-few,0,0,,
